company_name,tool_support,transportation,self_improvement,meal,working_type,insurance,vacation
crowdworks,"30"" 모니터, 맥북 프로 15""",야간택시비지원,"월별 도서구입비 5만원 지원, 동아리 지원","맥주 무제한 공급, 간식 무한 제공, 고급 커피 제공","AM 09:30 ~ PM 06:30 (점심시간 PM12:30 ~ PM1:30), 유연 근무","종합 검진 제공, 경조사비, 4대 보험","생리 휴가, 출산 휴가, 월차"
daangn,"iMac, Macbook Pro등 충분한 업무 장비 지원(보통 2개 사용), 스텐딩 책상",empty,"업무관련 서적 구입비 지원, 스터디 모임 지원, 세미나 참가비 지원","식비 전액 지원, 고급 커피 제공, 간식 무한 제공, 중식 제공",AM 10 - PM 07,"종합 검진 제공, 4대 보험",empty
daylifg,"사무용품지원, 개인모니터지급, 개인노트북지급",empty,empty,"각종커피티백지원, 야근식대지원, 컵라면무한제공, 카페사용료지원, 사내카페운영",AM 09:30 ~PM 6:30,"종합 검진 제공, 경조사비, 4대 보험","임시공휴일휴무, 근로자의날 휴무, 생리휴가, 산전후휴가, 연차휴가제도, 육아휴직 제공, 월차/반차/경조휴가/창립일휴무/법정공휴일휴무, 배우자출산휴가"
dealicious,"맥북 프로 15"", iMac 27"", 듀얼 모니터",empty,"월별 팀 활동비 지원, 세미나 참가비 지원",empty,"AM 10 - PM 07, AM 09 - PM 06, 유연 근무","경조사비, 종합 검진 제공, 4대 보험","자율 휴가제, 월차"
ecubelabs,"iMac 27"", 맥북 프로 13"", 듀얼 모니터",empty,"장기근속 포상, 헬스장 이용 가능, 연간 도서구입비 지원, 세미나 참가비 지원, 컨퍼런스, 교육, 도서 등 개인의 성장을 적극적으로 지원","간식 무한 제공, 중식 제공","회식 및 야근강요 없음, 자유로운 복장, 호칭/서열파괴, AM 10 - PM 07, AM 09 - PM 06, 유연 근무","건강보험, 산재보험, 고용보험, 국민연금","명절 선물/귀향비 지급, 외부 교육 및 세미나는 자율적으로 참가, 컨퍼런스, 교육, 도서 등 개인의 성장을 적극적으로 지원, 월차, 자율 휴가제"
encored,"시디즈 의자, 피곤할땐 휴게실 안마의자, 개인별 맞춤형 PC지원(Windows or OSX), 듀얼 모니터","외근 시 식대제공, 야근 교통비 지원","레이디데이, 교육 훈련비 지원, 도서구매지원","캔음료, 고급 커피 제공, 간식 무한 제공, 중식 제공","전문연구요원 신규편입 및 전직 가능, AM 10 - PM 07, 유연 근무, AM 09 - PM 06","명절 선물/귀향비 지급, 생일상품권, 경조사비, 종합 검진 제공, 4대 보험",출산 휴가
fastcampus,empty,(야근시)교통비 지원,"청년내일채움공제, 사내 동호회 지원, 도서비 지원, 전액 무료로 패스트캠퍼스 전체 강의 수강 가능","고급 커피 제공, 맥주 무제한 공급, 석식 제공","AM 10 - PM 07, 유연 근무","경조사비, 4대 보험","연차(1년 15일), 생리 휴가, 3년근속 시 10일 유급휴가, 자율 휴가제"
fastfive,empty,empty,"월별 도서구입비 5만원 지원, 세미나 참가비 지원, 동아리 지원, 패스트캠퍼스 강의 지원","맥주 무제한 공급, 고급 커피 제공, 간식 무한 제공, 석식 제공",AM 09:30 ~PM 6:30,"경조사비, 4대 보험","3년근속 시 10일 유급휴가, 연차 휴가 및 각종 경조사 지원, 생리 휴가, 출산 휴가"
flitto,empty,empty,empty,"석식 제공, 중식 제공",AM 10 - PM 07,4대 보험,월차
gencurix,듀얼 모니터,empty,"자기계발비 지원, 세미나 참가비 지원","간식 무한 제공, 중식 제공",유연 근무,"경조사비, 4대 보험","장기근속휴가, 특별연차 , 출산 휴가, 자율 휴가제"
goodoc,"맥북 프로 13"", 듀얼 모니터",empty,"교육훈련/도서구입비 지원, 굿닥 문화의 날","고급 커피 제공, 맥주 무제한 공급, 간식 무한 제공, 석식 제공","9~10시 출근 6시~7시 퇴근 탄력근무, 한 달에 한 번 2시간 일찍 퇴근하세요. 먼저간데이!","경조사비, 4대 보험","연차, 정기휴가"
gridwiz,"노트북 지급, 듀얼 모니터","전기차 구매시 보험료 지원, 유류비 지원","톡톡데이, 동호회 지원, 자기계발비 지원","식비 전액 지원, 고급 커피 제공, 간식 무한 제공, 석식 제공, 중식 제공","AM 09 - PM 06, 유연 근무","종합 검진 제공, 4대 보험","단축근로 모성보호, 배우자 출산휴가, 생리 휴가, 출산 휴가, 자율 휴가제"
healthmedi,empty,empty,empty,empty,AM 09 - PM 06,"경조사비, 4대 보험",empty
hellomarket,"맥북 프로 15""",empty,empty,"석식 제공, 고급 커피 제공, 간식 무한 제공","유연 근무, AM 10 - PM 07, AM 09 - PM 06","경조사비, 4대 보험",자율 휴가제
howtomarry,"최신사양 노트북, 듀얼 모니터",주차지원,"스팟(업무외 액티비티)지원, 지식나눔(스터디) 지원, 도서구매","중식 제공, 고급 커피 제공","탄력근무(오전8시~10시), 원격 근무, AM 10:00 - PM 7:00","종합 검진 제공, 경조사비, 4대 보험","결혼준비휴가 5일, 자율 휴가제, 육아연차, 결혼연차, 생리 휴가, 1년 15일 연차 제공"
igaworks,empty,야근교통비 지원,empty,"야근 식대 제공, 카페테리아제공","시차출퇴근제, AM 09:30 ~PM 6:30","의료 실비 보험, 종합 검진 제공, 경조사비, 4대 보험","시차출퇴근제, 기념일 휴가(본인/배우자/자녀 입학/졸업식), 본인/배우자 생일 조기퇴근, HAPPY DAY(월 1회 조기 퇴근/지연출근, 연차 휴가 및 각종 경조사 지원"
infocash,듀얼 모니터,empty,"세미나 참가비 지원, 스터디 모임 지원",맥주 무제한 공급,"원격 근무, 자율 출근",4대 보험,"생리 휴가, 월차, 출산 휴가, 자율 휴가제"
ingongjineungyeonguweon,"맥북 프로 13"", 듀얼 모니터",empty,길드모임지원,"석식제공, 고급 커피 제공, 간식 무한 제공, 조식 제공",팀별자율출퇴근,"경조사비, 종합 검진 제공, 4대 보험",자율 휴가제
ingstory,"업무용 노트북 지원, 듀얼 모니터",empty,empty,"맥주 무제한 공급, 간식 무한 제공, 고급 커피 제공",AM 9:30 ~ PM 6:30 (점심시간 : PM 12:30 ~ PM 1:30),"경조사비, 4대 보험","출산 휴가, 자율 휴가제"
jlk-inspection,듀얼 모니터,(야근시)교통비 지원,"도서,세미나비 지원","아침 녹즙 구매 비용 지원, 식비 전액 지원, 고급 커피 제공, 석식 제공, 중식 제공, 조식 제공",AM 09 - PM 06,"경조사비, 4대 보험","생리 휴가, 출산 휴가, 자율 휴가제"
jobplanet,"맥북 프로 15"", 듀얼 모니터",야근교통비지원,"업무관련도서구입, 자기계발비 지원, 세미나 참가비 지원","간식제공, 석식 제공, 점심식대지원",AM 10 - PM 07,"경조사비, 의료실비지원, 4대 보험","생일조기퇴근 및 선물, 매월마지막주 금요일 패밀리데이, 출산 휴가"
joonggonara,"맥북 프로 13"", 크고 아름다운 모니터, 듀얼 모니터",교대역 7번출구 1분거리,"스마트러닝 진행, 스터디활동, 도서 및 자기 개발 교육비 지원","맛있는 커피 제공, 간식 무한 제공","금요일 5시반 퇴근, 월요일 10시반 출근, AM9:30-PM6:30","종합 검진 제공, 경조사비, 4대 보험","해피아워(생일 2시간 자유시간), 리프레쉬휴가, 연차휴가"
klook,empty,empty,empty,"간식 무한 제공, 고급 커피 제공",AM 10 - PM 07,4대 보험,"자율 휴가제, 월차"
korea7st,듀얼 모니터,empty,"월별 도서구입비 5만원 지원, 스터디 모임 지원, 세미나 참가비 지원","과일 제공, 고급 커피 제공, 간식 무한 제공, 석식 제공, 중식 제공",유연 근무,"경조사비, 종합 검진 제공, 4대 보험","자율 휴가제, 월차"
lawcompany,업무상 필요한 장비 지급,"서울연고가없을경우거주비일부지원, 교대역 3분 거리 사무실","도서구입비 지원, 교육비지원","간식 무한 제공, 고급 커피 제공","원격 근무, 유연 근무, 자율 출근","치과치료및스케일링지원, 4대 보험","자율 휴가제, 월차"
lendit,"iMac 27"", 맥북 프로 13"", 맥북 프로 15"", 듀얼 모니터",empty,세미나 참가비 지원,"중식 제공, 고급 커피 제공, 석식 제공","AM 10 - PM 07, 유연 근무","종합 검진 제공, 경조사비, 4대 보험","한달에 한번 조기퇴근, 월차"
lezhinentertainment,"퍼시스 모션데스크 전동책상, 허먼밀러 에어론 + 목받침 or 엠바디 의자, 맥북 프로 15"", 듀얼 모니터",empty,"월별 문화비 지원, 세미나 참가비 지원, 동아리 지원","사내 카페테리아에서 커피 및 음료 무한제공, 간식 무한 제공, 중식 제공","AM 10 - PM 07, 자율 출근","생일상여, 명절선물(상여), 단체상해보험, 경조사비, 종합 검진 제공, 4대 보험","샌드위치데이 휴무, 날찾지마 휴가 : 1년 5일, 리플레쉬휴가 별도제공, 출산 휴가, 월차, 자율 휴가제"
lifelab,"듀얼 모니터, 맥북 프로 15""",empty,세미나 참가비 지원,"중식 제공, 커피숍 무료 이용 (1층 카페), 간식 무한 제공","AM 8 - PM 5, AM 9 - PM 6, 유연 근무, AM 10 - PM 07","판교스타트캠퍼스 어린이집 지원 (사전 상담 필요), 종합 검진 제공",empty
lunit,원하는 장비 모두 제공,empty,"건강지원비 연간 100만원, 도서구입비 지원, 세미나 참가비 지원","간식 무한 제공, 고급 커피 제공, 커피 제공, 간식 제공, 석식 제공, 중식 제공",자율 출근,"경조사비, 종합 검진 제공, 4대 보험","단축근로 모성보호, 육아휴직 제공, 출산 휴가, 자율 휴가제"
madit,"듀얼 모니터, 요구사양에 맞는 PC",empty,"매달 복지포인트 10만원 제공, 사내 코딩교육, 컨퍼런스 세미나 참가 지원, 업무 관련 도서 및 교육 지원, 동아리 지원","간식 무한제공, 고급 커피 제공, 저녁 식대 지원(야근시)","월 2회 재택근무, 탄력근무제","주택자금 대출이자 지원, 건강 검진, 경조사비, 4대 보험","10일 연속 유급휴가인 비긴어게인 휴가, 5일+1일 원스어게인 휴가, 자유로운 연차사용 분위기, 생리 휴가, 출산 휴가"
madup,"요구사양에 맞는 PC, 듀얼 모니터",empty,"매달 복지포인트 10만원 제공, 컨퍼런스 세미나 참가 지원, 업무 관련 도서 및 교육 지원, 동아리 지원","저녁 식대 지원(야근시), 고급 커피 제공, 간식 무한 제공","탄력 근무, 월 2회 재택근무","주택자금 대출이자 지원, 건강 검진, 경조사비, 4대 보험","10일 연속 유급휴가인 비긴어게인 휴가, 5일+1일 원스어게인 휴가, 생리 휴가, 출산 휴가, 자유로운 연차사용 분위기"
marketboro-1,"노트북 지원, 모니터 지원",empty,"업무관련 도서비 지원, 업무교육비 지원","원두 커피 무제한 제공, 음료 냉장고 제공, 스낵바, 아침(토스트/시리얼)","시차출퇴근제,  주5일(월~금) AM 09:30 ~ PM 18:30","4대 보험, 종합 검진 제공","육아기 단축근무, 묻지마 자유연차, 장기근속자 리프레시휴가, 출산 휴가"
marketdesigners,"듀얼 모니터, 맥북 프로 13"", 맥북 프로 15""",empty,"중국어 학습 지원, 영어학습, 사내 동아리 지원, 세미나 참가비 지원, 동아리 지원","맥주 무제한 공급, 중식 제공, 고급 커피 제공","AM 10 - PM 07, 유연 근무",4대 보험,"생리 휴가, 월차"
mathpresso,"듀얼 모니터, 맥북 프로 15"", 맥북 + 듀얼모니터","야근시 식대,교통비 제공","동아리 지원, 세미나 참가비 지원, 스터디 모임 지원, 도서,세미나비 지원","티타임, 캡슐커피머신, 다채로운 간식과 음료, 고급커피머신, 중식 및 석식 지원, 간식 무한 제공","정규워크타임 11-17, 유연 근무","경조사비, 4대 보험",자율 휴가제
maxst,empty,empty,"월별 자기개발비 지원, 세미나 참가비 지원",간식 무한 제공,empty,"경조사비, 4대 보험",empty
meshkorea,"LG그램, lenovo, 듀얼 모니터, iMac 27""",empty,"자체 세미나, 세미나 참가비 지원, 도서구입비 지원, 피트니스회원권제공",중식 제공,AM 10 - PM 07,"직장검진, 경조사비, 4대 보험","출산 휴가, 생리 휴가, 자율 휴가제, 연차"
miso,"30"" 모니터, iMac 27"", 맥북 프로 13"", 맥북 프로 15"", 듀얼 모니터",empty,empty,"고급 커피 제공, 맥주 무제한 공급, 간식 무한 제공, 조식 제공","자율 출근, 유연 근무",4대 보험,"월차, 자율 휴가제"
monolith,"맥북 프로 15""",empty,자기성장 도서비 지원,간식 무한 제공,"유연 근무, 자율 출근","종합 검진 제공, 4대 보험","월차, 생리 휴가, 출산 휴가, 자율 휴가제"
munpia,empty,empty,자기계발비,"고급 커피 제공, 석식 제공, 중식 제공",AM 09 - PM 06,"경조사비, 4대 보험","연차 제도, 출산 휴가"
mykoon,"맥북 프로 15"", 듀얼 모니터",empty,"성장을 위한 자유로운 지원(도서 구입, 세미나 참석 등), 자기계발비 지원, 세미나 참가비 지원","중식도시락제공, 저녁식대지원(야근시), 간식 무한 제공",AM 10 - PM 07,"경조휴가및경조금, 경조사비, 4대 보험","연차-눈치 안보고 자유롭게 사용 가능, 연차소진장려"
mymusictaste-3,empty,empty,"스터디 모임 지원, 월별 도서구입비 5만원 지원",간식 무한 제공,자율 출근,4대 보험,자율 휴가제
myrealtrip,맥북 등 업무에 필요한 장비 제공,야근교통비 지원,매월 자기계발비 15만원 지원,"다양한 간식제공, 고급 커피 제공","오후4시~오후7시30분 퇴근, 오전7시~오전10시30분 출근, 자율출퇴근제도(8시간 근무)",4대 보험,"본인 및 직계가족 생일시 반차, 연차, 월차, 정기 휴가, 경조휴가, 반차, 포상휴가"
nbtpartners,"iMac 27"", 듀얼 모니터",empty,"스터디 모임 지원, 세미나 참가비 지원, 동아리 지원","맥주 무제한 공급, 식비 전액 지원, 고급 커피 제공, 간식 무한 제공, 석식 제공, 중식 제공",AM 10 - PM 07,"종합 검진 제공, 4대 보험","월차, 출산 휴가"
neuromeka,empty,empty,empty,"석식 제공, 중식 제공",AM 09 - PM 06,4대 보험,"자율 휴가제, 월차"
noom,empty,야근 교통비 지원,empty,"고급 커피 제공, 석식 제공, 중식 제공","유연 근무, 자율 출근","경조사비, 4대 보험",월차
ogq,"모니터 지원, 맥북지원",empty,"자기개발 교육비 지원, 사내 스터디","간식 무한 제공, 야근시 식대, 교통비 지원, 점식 식비 제공",AM 10 - PM 07,"종합 검진 제공, 4대 보험","병가 별도, 휴가비 지원, 자율 휴가제"
oliveunion,empty,empty,empty,empty,AM 10 - PM 07,4대 보험,자율 휴가제
opgg,"고사양 컴퓨터, 27인치 듀얼모니터",empty,"외부교육비 지원, 분기별 운동비 지원, 도서구입비",empty,"재택 근무, 자율 출근","종합 검진 제공, 경조사비, 4대 보험","3년 근속시 2주 리프레시 휴가, 자율 휴가제"
panagene,노트북제공,기숙사 지원,empty,식비 전액 지원,empty,"종합 검진 제공, 경조사비, 4대 보험",자율 휴가제
pandoratv,듀얼 모니터,empty,empty,empty,empty,empty,empty
peoplefund,"DELL모니터, 최신컴퓨터",교통비 지원,"세미나 참가비 지원, 도서 구입비 지원","맥주 무제한 공급, 고급 커피 제공, 간식 무한 제공, 석식 제공, 중식 제공",AM 09:00-10:00 자율출근,"경조사비, 종합 검진 제공, 4대 보험",자율 15일 연차사용
plat-8,empty,empty,"도서구매 지원, 세미나 참가비 지원","맛집탐방, 간식 무한 제공",empty,4대 보험,"출산 휴가, 자율 휴가제"
podotree,"듀얼 모니터, iMac 27"", 맥북 프로 15""",empty,"동아리 지원, 세미나 참가비 지원","간식 무한 제공, 석식 제공, 중식 제공","유연 근무, AM 10 - PM 07",의료 실비 보험,"기념일휴가 2일, 3년 근속시 3주, 출산 휴가"
poolus,empty,풀러스 크레딧 지급,"셀프리더십 코칭, MBTI 검사, 도서구입비 지원","고급 커피 제공, 간식 무한 제공","주5일제, AM 09:30 - PM 06:30","경조사비, 4대 보험","경조 휴가, 반차, 연차"
prnd,"놀 제너레이션 의자, 30인치 모니터, 필요시 업무용 스마트폰",주차비 지원,"업무관련 교육비, 업무 관련 도서구입 지원, 세미나 참가비 지원","퇴근 후 친목활동 지원(123 회동), 고급 커피 제공, 간식 무한 제공, 중식 제공, 야근시 석식 지원","AM 10 - PM 6, 주 1회 오후 출근","4대 보험, 경조사 휴가 및 경조사비 지원, 종합 검진 제공","생일휴가, 상반기 / 하반기 휴가비 100만원 지원"
raelkorea,"맥북 프로 15""",empty,empty,간식 무한 제공,"유연 근무, AM 10 - PM 07, AM 09 - PM 06","경조사비, 종합 검진 제공, 4대 보험","출산 휴가, 월차, 자율 휴가제"
ridi,empty,empty,"월별 운동비 최대20만원 지원, 외부강좌, 월별 운동비 지원, 독서지원금","샐러드 식사 및 과일류 제공 , 건강에 좋은 견과류, 과일 제공, 고급 커피 제공",자율 출근,"경조사비, 종합 검진 제공, 4대 보험",3년 근속시 2주 리프레시 휴가
riiid_inc,"iMac 27"", 맥북 프로 15"", 듀얼 모니터",야근택시비 지원,"전문 분야 교육 지원, 전문분야 행사 개최 스폰, 업무 관련 서적 무제한 지원, 세미나 참가비 지원","고급 커피 제공, 간식 무한 제공, 석식 제공, 먹는 것엔 돈을 아끼지 않는다","자율 출근, AM 10 - PM 07, 유연 근무","경조 휴가/경조금, 4대 보험",empty
saltlux-1,"모니터, 노트북",empty,"청년입사자 청년내일채움공제 가입, 자녀학자금 지원, 선택적복리후생비, 스터디 모임 지원, 동아리 지원, 업무과 관련된 다양한 교육비 지원, 도서구입비 무제한 지원, 어학교육비 지원, 학자금 지원","팀별 회식비 지원, 고급 커피 제공, 간식 무한 제공, 석식 제공, 조식 제공","유연 근무, AM 09 - PM 06","금융기관 대출제도 시행, 사내 대출 제도, 의료비지원(본인/배우자,직계가족), 경조사비, 종합 검진 제공, 4대 보험","우수사원포상제, 5성급 호텔 숙박료 지원, 해외워크샵, 월차, 생리 휴가, 출산 휴가, 연차"
sandboxnetwork,듀얼 모니터,2호선 삼성역 인근,"동아리 지원, 세미나 참가비 지원","중식 제공, 야근식대 제공, 고급 커피 제공, 간식 무한 제공","자율 출근, 유연 근무, AM 10 - PM 07","심리상담 서비스 지원, 의료 실비 보험, 경조사비, 종합 검진 제공, 4대 보험","월차, 출산 휴가, 연차 15일 기본제공"
sendbird,"Welcome Budget 50만원, 맥북 프로 15"", 노트북 스탠드, 키보드 마우스 구매 지원, 맥북 프로 13"", 듀얼 모니터",주차비지원,"동아리 지원, 월별 운동비 지원, 외국어 학습 비용 50% 매칭 지원, 세미나 참가비 지원, •	업무관련 도서비 무제한 지원","간식 무한 제공, 야근 석식 제공","기념일 휴가 (생일/결혼기념일), 출근 퇴근 2시간 플랙시블(AM8~10 - PM5~7), •	수시 워크샵 및 All-hands Meeting, •	월 1회 Remote 근무 (집, 카페, 강변 어디든 온라인이라면 함께 일할 수 있음), •	월 1회 스마일 디너 (가족과 함께 보내는 조기퇴근 시스템)","건강검진 비용, 경조사비, 4대 보험","연차수당 지급, 법정연차"
seworks,"Window 노트북, iMac 27"", 맥북 프로 13"", 맥북 프로 15"", 듀얼 모니터","영업직 통신비 지원, 영업직 교통비 지원, 영업활동비지급","세미나 참가비 지원, 자기계발도서지원","간지카드제공, 석식 제공, 중식 제공","AM 10 - PM 07, AM 09 - PM 06, 유연 근무","경조사비, 종합 검진 제공, 4대 보험","연차, 리프레쉬데이, 겨울방학, 자율 휴가제, 생리 휴가, 출산 휴가"
simpleprojectco,"추가 모니터 지급, 신규입사자 PC/노트북 지급",empty,"자율 복장, 호칭파괴, 매달 회식비 지원, 세미나 참가비 지원","정부운영 e복지몰 이용가능, 식권대장, 자사제품할인, 중식 제공",AM 10 - PM 07,"경조사비, 종합 검진 제공, 4대 보험","출산 · 육아휴직, 법정기준연차"
socar,empty,쏘카이용쿠폰제공,"도서구매지원, 동아리 지원, 세미나 참가비 지원","고급 커피 제공, 간식 무한 제공",am 09:30 ~ pm 6:30,"경조사비, 4대 보험","경조휴가, 연차"
spacewalk,듀얼 모니터,empty,"교육비, 세미나 참가비 지원, 스터디 모임 지원",고급 커피 제공,유연출퇴근제,4대 보험,연차휴가제도
sparkplus_global,empty,empty,empty,"조식 제공, 고급 커피 제공",AM 09 - PM 06,4대 보험,월차
spoqa,empty,empty,"교육훈련/도서구입비 지원, 외부교육비 지원","야근 식비지원, 간식 제공","도도데이(월1회 조기퇴근), 월~금(주 5일제), 유연 근무, AM 10 - PM 07","단체상해보험, 종합 검진 제공, 경조사비, 4대 보험","명절/생일 선물제공, 육아휴직제도, 산전후휴가, 우수사원 · 장기근속자 포상 , 경조휴가, 자율 휴가제"
sualab,empty,empty,empty,"간식 무한제공, 고급커피 제공","자율 출근, 유연 근무, AM 10 - PM 07","종합 검진 제공, 4대 보험",empty
swingvy,"iMac 27, 개발/디자인 :  맥북/iMac 등 필요 장비, 27' 모니터, 맥북 프로 15""",empty,"영어교육비 지원, 세미나 참가비 지원, 업무 관련 도서 및 교육 지원, 휴게실 및 수면실 제공","간식 무한 제공, 고급 커피 제공, 식비 전액 지원","AM 10:00 - PM 7:00, AM 9:00 - PM 6:00, AM 8:00 - PM 5:00, 유연 근무","경조사비, 4대 보험","프로젝트 휴가, 출산 휴가"
tapasmedia,업무상 필요한 장비 지급,empty,"월별 건강관리비 5만원 지원, 외국어 학습 10만원 지원",식비 전액 지원,"AM 10 - PM 06, 유연 근무",4대 보험,자율 휴가제
terra,"맥북 프로 15"", 30"" 모니터",empty,empty,empty,자율 출근,4대 보험,"생리 휴가, 자율 휴가제"
ticketmonster,empty,empty,"스터디 모임 지원, 사내도서관 무료이용",야근시 저녁식사 지원,AM 10 - PM 07,"경조사비, 종합 검진 제공, 4대 보험, 의료 실비 보험","출산 휴가, 슈퍼패스(2시간 짜리 초단기 휴가 1년 8개 지급)"
toss,"최고급 장비 지원, 베리데스크 지원","주차가능, 교통비 지원","월별 운동비 10만원 지원, 도서비지원","과일 제공, 고급 커피 제공, 식비 전액 지원, 간식 무한 제공, 석식 제공, 중식 제공","자율 출퇴근, 원격 근무, 유연 근무","종합 검진 제공, 의료 실비 보험, 경조사비, 종합 건강검진, 직장 단체 보험, 4대 보험","휴가 무제한, 3년 근속 시 1달 휴가, 출산 휴가"
